,1. open,2. high,3. low,4. close,5. volume
2008-01-31,146.53,146.99,126.0,137.37,6106834300.0
2008-02-29,137.94,139.61,131.73,133.82,4151028600.0
2008-03-31,133.14,135.81,126.07,131.97,5462121800.0
2008-04-30,133.61,140.59,132.33,138.26,4014652600.0
2008-05-30,138.38,144.3,137.52,140.35,3646997000.0
2008-06-30,139.83,140.89,127.04,127.98,5408930000.0
2008-07-31,126.52,129.16,120.02,126.83,7156206800.0
2008-08-29,127.12,131.51,124.76,128.79,4344355500.0
2008-09-30,130.03,130.71,110.53,115.99,8105188900.0
2008-10-31,115.27,116.69,83.58,96.83,11882352200.0
2008-11-28,96.78,100.86,74.34,90.09,8762237000.0
2008-12-31,87.51,92.43,81.86,90.24,6919927700.0
2009-01-30,90.44,94.45,80.05,82.83,6872039400.0
2009-02-27,81.57,87.74,73.81,73.93,7275092500.0
2009-03-31,72.52,83.3,67.1,79.52,8813959700.0
2009-04-30,78.53,89.02,78.33,87.42,6023006600.0
2009-05-29,87.44,93.7,86.72,92.53,5195735600.0
2009-06-30,93.67,96.11,88.85,91.95,5054855000.0
2009-07-31,92.34,99.83,87.0,98.81,4295844600.0
2009-08-31,99.85,104.35,98.11,102.46,3954118963.0
2009-09-30,101.95,108.06,99.57,105.59,3774712350.0
2009-10-30,103.0,110.31,101.99,103.56,4478118719.0
2009-11-30,104.13,111.74,103.08,109.94,3428177124.0
2009-12-31,110.92,113.03,109.02,111.44,2878516757.0
2010-01-29,112.37,115.14,107.22,107.39,3705733018.0
2010-02-26,108.15,111.58,104.58,110.74,4439171207.0
2010-03-31,111.2,118.17,111.17,117.0,3699245612.0
2010-04-30,117.8,122.12,117.1,118.81,4004277783.0
2010-05-28,119.38,120.68,104.38,109.37,7402768337.0
2010-06-30,108.35,113.2,102.88,103.22,5696350357.0
2010-07-30,103.15,112.29,101.13,110.27,4717472942.0
2010-08-31,111.99,113.18,104.29,105.31,4536956409.0
2010-09-30,106.73,115.79,106.66,114.13,4042638784.0
2010-10-29,114.99,119.76,113.18,118.49,3763467063.0
2010-11-30,119.07,122.95,117.59,118.49,3978049158.0
2010-12-31,120.2,126.2,120.19,125.75,2718639268.0
2011-01-31,126.71,130.35,125.7,128.68,2857000899.0
2011-02-28,129.46,134.69,129.38,133.15,2815864041.0
2011-03-31,133.57,133.69,125.28,132.59,4776136726.0
2011-04-29,133.41,136.57,129.51,136.43,2811243192.0
2011-05-31,137.07,137.18,131.38,134.9,3333953417.0
2011-06-30,134.51,134.92,126.19,131.97,4675957703.0
2011-07-29,132.09,135.7,127.97,129.33,3830169325.0
2011-08-31,130.84,130.96,110.27,122.22,9023719820.0
2011-09-30,122.29,123.4,111.3,113.15,6173479911.0
2011-10-31,112.49,129.42,107.43,125.5,5706349377.0
2011-11-30,122.03,128.02,116.2,124.99,4994461652.0
2011-12-30,124.85,127.26,120.03,125.5,3835567090.0
2012-01-31,127.76,133.4,126.43,131.32,2877125732.0
2012-02-29,132.29,138.19,132.13,137.02,2887994942.0
2012-03-30,137.31,141.83,134.36,140.81,3051602568.0
2012-04-30,140.64,142.21,135.76,139.87,3022691643.0
2012-05-31,139.79,141.66,129.55,131.47,3998284713.0
2012-06-29,129.41,136.27,127.14,136.1,3640166489.0
2012-07-31,136.48,139.34,132.6,137.71,2857498501.0
2012-08-31,138.7,143.09,135.58,141.16,2410281680.0
2012-09-28,141.04,148.11,140.13,143.97,2388041836.0
2012-10-31,144.52,147.16,140.39,141.35,2716359739.0
2012-11-30,141.65,143.72,134.7,142.15,3027334368.0
2012-12-31,142.8,145.58,139.54,142.41,2884366197.0
2013-01-31,145.11,150.94,144.73,149.7,2583855935.0
2013-02-28,150.65,153.28,148.73,151.61,2565517631.0
2013-03-28,151.09,156.85,150.41,156.67,2326952774.0
2013-04-30,156.59,159.72,153.55,159.68,2901276707.0
2013-05-31,159.33,169.07,158.1,163.45,2776278334.0
2013-06-28,163.83,165.99,155.73,160.42,3522568591.0
2013-07-31,161.26,169.86,160.22,168.71,2314233963.0
2013-08-30,169.99,170.97,163.05,163.65,2279523923.0
2013-09-30,165.23,173.6,163.7,168.01,2237776606.0
2013-10-31,168.14,177.51,164.53,175.79,2893983294.0
2013-11-29,176.02,181.75,174.76,181.0,1931935724.0
2013-12-31,181.09,184.69,177.32,184.69,2232670202.0
2014-01-31,183.98,184.94,176.88,178.18,2530649614.0
2014-02-28,177.97,187.15,173.71,186.29,2394183674.0
2014-03-31,184.65,189.02,183.75,187.01,2553782755.0
2014-04-30,187.62,189.7,181.31,188.31,2345807033.0
2014-05-30,188.22,192.8,186.01,192.68,1780157245.0
2014-06-30,192.95,196.6,191.97,195.72,1675360233.0
2014-07-31,196.2,199.06,192.97,193.09,1893838621.0
2014-08-29,192.56,200.82,190.55,200.71,1829764370.0
2014-09-30,200.97,201.9,196.05,197.02,2106580212.0
2014-10-31,196.7,201.82,181.92,201.66,3943067849.0
2014-11-28,201.92,207.87,200.06,207.2,1571225009.0
