,CSUSHPISA
2019-06-01,208.62
2019-07-01,209.208
2019-08-01,210.032
2019-09-01,210.868
2019-10-01,211.72400000000002
2019-11-01,212.757
2019-12-01,213.925
2020-01-01,215.025
2020-02-01,215.9
2020-03-01,216.459
2020-04-01,216.859
2020-05-01,216.96099999999998
2020-06-01,217.545
2020-07-01,219.22400000000002
2020-08-01,222.271
2020-09-01,225.78599999999997
2020-10-01,229.65
2020-11-01,233.21599999999998
2020-12-01,236.524
2021-01-01,239.672
2021-02-01,242.456
2021-03-01,245.558
2021-04-01,249.12599999999998
2021-05-01,253.321
2021-06-01,258.177
2021-07-01,262.48900000000003
2021-08-01,266.601
2021-09-01,270.283
2021-10-01,273.553
2021-11-01,277.275
2021-12-01,281.459
2022-01-01,286.165
2022-02-01,291.322
2022-03-01,296.556
2022-04-01,300.578
2022-05-01,303.507
2022-06-01,304.322
2022-07-01,303.29400000000004
2022-08-01,301.048
2022-09-01,299.157
2022-10-01,298.642
2022-11-01,298.38
2022-12-01,297.596
2023-01-01,297.452
2023-02-01,298.014
2023-03-01,299.073
2023-04-01,300.469
2023-05-01,302.402
2023-06-01,304.375
2023-07-01,306.44599999999997
2023-08-01,309.15
2023-09-01,311.365
2023-10-01,313.056
2023-11-01,313.952
2023-12-01,314.63599999999997
2024-01-01,315.944
2024-02-01,317.61
2024-03-01,318.598
2024-04-01,319.53700000000003
2024-05-01,320.406
2024-06-01,320.987
2024-07-01,321.556
